ICD-10-CM,description,dx_broad,Diagnosis,Sheet 
C498,Malignant neoplasm of overlapping sites of connective and soft tissue,cancer,Non CNS Cancer,CCS 2015 -> ICD-271
C499,"Malignant neoplasm of connective and soft tissue, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-272
C49A0,"Gastrointestinal stromal tumor, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-273
C49A1,Gastrointestinal stromal tumor of esophagus,cancer,Non CNS Cancer,CCS 2015 -> ICD-274
C49A2,Gastrointestinal stromal tumor of stomach,cancer,Non CNS Cancer,CCS 2015 -> ICD-275
C49A3,Gastrointestinal stromal tumor of small intestine,cancer,Non CNS Cancer,CCS 2015 -> ICD-276
C49A4,Gastrointestinal stromal tumor of large intestine,cancer,Non CNS Cancer,CCS 2015 -> ICD-277
C49A5,Gastrointestinal stromal tumor of rectum,cancer,Non CNS Cancer,CCS 2015 -> ICD-278
C49A9,Gastrointestinal stromal tumor of other sites,cancer,Non CNS Cancer,CCS 2015 -> ICD-279
C4A0,Merkel cell carcinoma of lip,cancer,Non CNS Cancer,CCS 2015 -> ICD-280
C4A10,"Merkel cell carcinoma of unspecified eyelid, including canthus",cancer,Non CNS Cancer,CCS 2015 -> ICD-281
C4A20,Merkel cell carcinoma of unspecified ear and external auricular canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-282
C4A30,Merkel cell carcinoma of unspecified part of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-283
C4A39,Merkel cell carcinoma of other parts of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-284
C4A4,Merkel cell carcinoma of scalp and neck,cancer,Non CNS Cancer,CCS 2015 -> ICD-285
C4A59,Merkel cell carcinoma of other part of trunk,cancer,Non CNS Cancer,CCS 2015 -> ICD-286
C4A60,"Merkel cell carcinoma of unspecified upper limb, including shoulder",cancer,Non CNS Cancer,CCS 2015 -> ICD-287
C4A70,"Merkel cell carcinoma of unspecified lower limb, including hip",cancer,Non CNS Cancer,CCS 2015 -> ICD-288
C4A8,Merkel cell carcinoma of overlapping sites,cancer,Non CNS Cancer,CCS 2015 -> ICD-289
C4A9,"Merkel cell carcinoma, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-290
C50019,"Malignant neoplasm of nipple and areola, unspecified female breast",cancer,Non CNS Cancer,CCS 2015 -> ICD-291
C50029,"Malignant neoplasm of nipple and areola, unspecified male breast",cancer,Non CNS Cancer,CCS 2015 -> ICD-292
C50119,Malignant neoplasm of central portion of unspecified female breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-293
C50219,Malignant neoplasm of upper-inner quadrant of unspecified female breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-294
C50319,Malignant neoplasm of lower-inner quadrant of unspecified female breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-295
C50419,Malignant neoplasm of upper-outer quadrant of unspecified female breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-296
C50519,Malignant neoplasm of lower-outer quadrant of unspecified female breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-297
C50619,Malignant neoplasm of axillary tail of unspecified female breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-298
C50819,Malignant neoplasm of overlapping sites of unspecified female breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-299
C50919,Malignant neoplasm of unspecified site of unspecified female breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-300
C50929,Malignant neoplasm of unspecified site of unspecified male breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-301
C530,Malignant neoplasm of endocervix,cancer,Non CNS Cancer,CCS 2015 -> ICD-302
C531,Malignant neoplasm of exocervix,cancer,Non CNS Cancer,CCS 2015 -> ICD-303
C538,Malignant neoplasm of overlapping sites of cervix uteri,cancer,Non CNS Cancer,CCS 2015 -> ICD-304
C539,"Malignant neoplasm of cervix uteri, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-305
C540,Malignant neoplasm of isthmus uteri,cancer,Non CNS Cancer,CCS 2015 -> ICD-306
C541,Malignant neoplasm of endometrium,cancer,Non CNS Cancer,CCS 2015 -> ICD-307
C542,Malignant neoplasm of myometrium,cancer,Non CNS Cancer,CCS 2015 -> ICD-308
C543,Malignant neoplasm of fundus uteri,cancer,Non CNS Cancer,CCS 2015 -> ICD-309
C548,Malignant neoplasm of overlapping sites of corpus uteri,cancer,Non CNS Cancer,CCS 2015 -> ICD-310
C549,"Malignant neoplasm of corpus uteri, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-311
C700,Malignant neoplasm of cerebral meninges,cancer,Non CNS Cancer,CCS 2015 -> ICD-312
C701,Malignant neoplasm of spinal meninges,cancer,Non CNS Cancer,CCS 2015 -> ICD-313
C709,"Malignant neoplasm of meninges, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-314
C710,"Malignant neoplasm of cerebrum, except lobes and ventricles",cancer,Non CNS Cancer,CCS 2015 -> ICD-315
C711,Malignant neoplasm of frontal lobe,cancer,Non CNS Cancer,CCS 2015 -> ICD-316
C712,Malignant neoplasm of temporal lobe,cancer,Non CNS Cancer,CCS 2015 -> ICD-317
C713,Malignant neoplasm of parietal lobe,cancer,Non CNS Cancer,CCS 2015 -> ICD-318
C714,Malignant neoplasm of occipital lobe,cancer,Non CNS Cancer,CCS 2015 -> ICD-319
C715,Malignant neoplasm of cerebral ventricle,cancer,Non CNS Cancer,CCS 2015 -> ICD-320
C716,Malignant neoplasm of cerebellum,cancer,Non CNS Cancer,CCS 2015 -> ICD-321
C717,Malignant neoplasm of brain stem,cancer,Non CNS Cancer,CCS 2015 -> ICD-322
C718,Malignant neoplasm of overlapping sites of brain,cancer,Non CNS Cancer,CCS 2015 -> ICD-323
C719,"Malignant neoplasm of brain, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-324
C720,Malignant neoplasm of spinal cord,cancer,Non CNS Cancer,CCS 2015 -> ICD-325
C721,Malignant neoplasm of cauda equina,cancer,Non CNS Cancer,CCS 2015 -> ICD-326
C7250,Malignant neoplasm of unspecified cranial nerve,cancer,Non CNS Cancer,CCS 2015 -> ICD-327
C729,"Malignant neoplasm of central nervous system, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-328
C729,"Malignant neoplasm of central nervous system, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-329
C760,"Malignant neoplasm of head, face and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-330
C7A010,Malignant carcinoid tumor of the duodenum,cancer,Non CNS Cancer,CCS 2015 -> ICD-331
C7A011,Malignant carcinoid tumor of the jejunum,cancer,Non CNS Cancer,CCS 2015 -> ICD-332
C7A012,Malignant carcinoid tumor of the ileum,cancer,Non CNS Cancer,CCS 2015 -> ICD-333
C7A019,"Malignant carcinoid tumor of the small intestine, unspecified portion",cancer,Non CNS Cancer,CCS 2015 -> ICD-334
C7A020,Malignant carcinoid tumor of the appendix,cancer,Non CNS Cancer,CCS 2015 -> ICD-335
C7A021,Malignant carcinoid tumor of the cecum,cancer,Non CNS Cancer,CCS 2015 -> ICD-336
C7A022,Malignant carcinoid tumor of the ascending colon,cancer,Non CNS Cancer,CCS 2015 -> ICD-337
C7A023,Malignant carcinoid tumor of the transverse colon,cancer,Non CNS Cancer,CCS 2015 -> ICD-338
C7A024,Malignant carcinoid tumor of the descending colon,cancer,Non CNS Cancer,CCS 2015 -> ICD-339
C7A025,Malignant carcinoid tumor of the sigmoid colon,cancer,Non CNS Cancer,CCS 2015 -> ICD-340
C7A026,Malignant carcinoid tumor of the rectum,cancer,Non CNS Cancer,CCS 2015 -> ICD-341
C7A029,"Malignant carcinoid tumor of the large intestine, unspecified portion",cancer,Non CNS Cancer,CCS 2015 -> ICD-342
C7A090,Malignant carcinoid tumor of the bronchus and lung,cancer,Non CNS Cancer,CCS 2015 -> ICD-343
C7A092,Malignant carcinoid tumor of the stomach,cancer,Non CNS Cancer,CCS 2015 -> ICD-344
D0000,"Carcinoma in situ of oral cavity, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-345
D0001,Carcinoma in situ of labial mucosa and vermilion border,cancer,Non CNS Cancer,CCS 2015 -> ICD-346
D0002,Carcinoma in situ of buccal mucosa,cancer,Non CNS Cancer,CCS 2015 -> ICD-347
D0003,Carcinoma in situ of gingiva and edentulous alveolar ridge,cancer,Non CNS Cancer,CCS 2015 -> ICD-348
D0004,Carcinoma in situ of soft palate,cancer,Non CNS Cancer,CCS 2015 -> ICD-349
D0005,Carcinoma in situ of hard palate,cancer,Non CNS Cancer,CCS 2015 -> ICD-350
D0006,Carcinoma in situ of floor of mouth,cancer,Non CNS Cancer,CCS 2015 -> ICD-351
D0007,Carcinoma in situ of tongue,cancer,Non CNS Cancer,CCS 2015 -> ICD-352
D0008,Carcinoma in situ of pharynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-353
D002,Carcinoma in situ of stomach,cancer,Non CNS Cancer,CCS 2015 -> ICD-354
D010,Carcinoma in situ of colon,cancer,Non CNS Cancer,CCS 2015 -> ICD-355
D011,Carcinoma in situ of rectosigmoid junction,cancer,Non CNS Cancer,CCS 2015 -> ICD-356
D012,Carcinoma in situ of rectum,cancer,Non CNS Cancer,CCS 2015 -> ICD-357
D013,Carcinoma in situ of anus and anal canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-358
D013,Carcinoma in situ of anus and anal canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-359
D0140,Carcinoma in situ of unspecified part of intestine,cancer,Non CNS Cancer,CCS 2015 -> ICD-360
D0149,Carcinoma in situ of other parts of intestine,cancer,Non CNS Cancer,CCS 2015 -> ICD-361
D015,"Carcinoma in situ of liver, gallbladder and bile ducts",cancer,Non CNS Cancer,CCS 2015 -> ICD-362
D017,Carcinoma in situ of other specified digestive organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-363
D019,"Carcinoma in situ of digestive organ, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-364
D020,Carcinoma in situ of larynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-365
D021,Carcinoma in situ of trachea,cancer,Non CNS Cancer,CCS 2015 -> ICD-366
D0220,Carcinoma in situ of unspecified bronchus and lung,cancer,Non CNS Cancer,CCS 2015 -> ICD-367
D023,Carcinoma in situ of other parts of respiratory system,cancer,Non CNS Cancer,CCS 2015 -> ICD-368
D024,"Carcinoma in situ of respiratory system, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-369
D030,Melanoma in situ of lip,cancer,Non CNS Cancer,CCS 2015 -> ICD-370
D0310,"Melanoma in situ of unspecified eyelid, including canthus",cancer,Non CNS Cancer,CCS 2015 -> ICD-371
D0311,Code not found,other,Non CNS Cancer,CCS 2015 -> ICD-372
D0312,Code not found,other,Non CNS Cancer,CCS 2015 -> ICD-373
D0320,Melanoma in situ of unspecified ear and external auricular canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-374
D0321,Melanoma in situ of right ear and external auricular canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-375
D0322,Melanoma in situ of left ear and external auricular canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-376
D0330,Melanoma in situ of unspecified part of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-377
D0339,Melanoma in situ of other parts of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-378
D034,Melanoma in situ of scalp and neck,cancer,Non CNS Cancer,CCS 2015 -> ICD-379
D0351,Melanoma in situ of anal skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-380
D0352,Melanoma in situ of breast (skin) (soft tissue),cancer,Non CNS Cancer,CCS 2015 -> ICD-381
D0359,Melanoma in situ of other part of trunk,cancer,Non CNS Cancer,CCS 2015 -> ICD-382
D0360,"Melanoma in situ of unspecified upper limb, including shoulder",cancer,Non CNS Cancer,CCS 2015 -> ICD-383
D0361,"Melanoma in situ of right upper limb, including shoulder",cancer,Non CNS Cancer,CCS 2015 -> ICD-384
D0362,"Melanoma in situ of left upper limb, including shoulder",cancer,Non CNS Cancer,CCS 2015 -> ICD-385
D0370,"Melanoma in situ of unspecified lower limb, including hip",cancer,Non CNS Cancer,CCS 2015 -> ICD-386
D0371,"Melanoma in situ of right lower limb, including hip",cancer,Non CNS Cancer,CCS 2015 -> ICD-387
D0372,"Melanoma in situ of left lower limb, including hip",cancer,Non CNS Cancer,CCS 2015 -> ICD-388
D038,Melanoma in situ of other sites,cancer,Non CNS Cancer,CCS 2015 -> ICD-389
D039,"Melanoma in situ, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-390
D040,Carcinoma in situ of skin of lip,cancer,Non CNS Cancer,CCS 2015 -> ICD-391
D0410,"Carcinoma in situ of skin of unspecified eyelid, including canthus",cancer,Non CNS Cancer,CCS 2015 -> ICD-392
D0420,Carcinoma in situ of skin of unspecified ear and external auricular canal,cancer,Non CNS Cancer,CCS 2015 -> ICD-393
D0430,Carcinoma in situ of skin of unspecified part of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-394
D0439,Carcinoma in situ of skin of other parts of face,cancer,Non CNS Cancer,CCS 2015 -> ICD-395
D044,Carcinoma in situ of skin of scalp and neck,cancer,Non CNS Cancer,CCS 2015 -> ICD-396
D045,Carcinoma in situ of skin of trunk,cancer,Non CNS Cancer,CCS 2015 -> ICD-397
D0460,"Carcinoma in situ of skin of unspecified upper limb, including shoulder",cancer,Non CNS Cancer,CCS 2015 -> ICD-398
D0470,"Carcinoma in situ of skin of unspecified lower limb, including hip",cancer,Non CNS Cancer,CCS 2015 -> ICD-399
D048,Carcinoma in situ of skin of other sites,cancer,Non CNS Cancer,CCS 2015 -> ICD-400
D049,"Carcinoma in situ of skin, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-401
D0590,Unspecified type of carcinoma in situ of unspecified breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-402
D069,"Carcinoma in situ of cervix, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-403
D070,Carcinoma in situ of endometrium,cancer,Non CNS Cancer,CCS 2015 -> ICD-404
G92,Code not found,other,Non CNS Cancer,CCS 2015 -> ICD-405
P369,"Bacterial sepsis of newborn, unspecified",sepsis,Non CNS Cancer,CCS 2015 -> ICD-411
R6520,Severe sepsis without septic shock,sepsis,Non CNS Cancer,CCS 2015 -> ICD-414
R6521,Severe sepsis with septic shock,sepsis,Non CNS Cancer,CCS 2015 -> ICD-415
R85610,Atypical squamous cells of undetermined significance on cytologic smear of anus (ASC-US),cancer,Non CNS Cancer,CCS 2015 -> ICD-416
R85611,Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of anus (ASC-H),cancer,Non CNS Cancer,CCS 2015 -> ICD-417
R85612,Low grade squamous intraepithelial lesion on cytologic smear of anus (LGSIL),cancer,Non CNS Cancer,CCS 2015 -> ICD-418
R85613,High grade squamous intraepithelial lesion on cytologic smear of anus (HGSIL),cancer,Non CNS Cancer,CCS 2015 -> ICD-419
R85614,Cytologic evidence of malignancy on smear of anus,cancer,Non CNS Cancer,CCS 2015 -> ICD-420
R85619,Unspecified abnormal cytological findings in specimens from anus,cancer,Non CNS Cancer,CCS 2015 -> ICD-421
R8581,Anal high risk human papillomavirus (HPV) DNA test positive,other,Non CNS Cancer,CCS 2015 -> ICD-422
Z8500,Personal history of malignant neoplasm of unspecified digestive organ,cancer,Non CNS Cancer,CCS 2015 -> ICD-423
Z85028,Personal history of other malignant neoplasm of stomach,cancer,Non CNS Cancer,CCS 2015 -> ICD-424
Z85038,Personal history of other malignant neoplasm of large intestine,cancer,Non CNS Cancer,CCS 2015 -> ICD-425
Z85048,"Personal history of other malignant neoplasm of rectum, rectosigmoid junction, and anus",cancer,Non CNS Cancer,CCS 2015 -> ICD-426
Z8505,Personal history of malignant neoplasm of liver,cancer,Non CNS Cancer,CCS 2015 -> ICD-427
Z85068,Personal history of other malignant neoplasm of small intestine,cancer,Non CNS Cancer,CCS 2015 -> ICD-428
Z8507,Personal history of malignant neoplasm of pancreas,cancer,Non CNS Cancer,CCS 2015 -> ICD-429
Z8509,Personal history of malignant neoplasm of other digestive organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-430
Z85118,Personal history of other malignant neoplasm of bronchus and lung,cancer,Non CNS Cancer,CCS 2015 -> ICD-431
Z8512,Personal history of malignant neoplasm of trachea,cancer,Non CNS Cancer,CCS 2015 -> ICD-432
Z8520,Personal history of malignant neoplasm of unspecified respiratory organ,cancer,Non CNS Cancer,CCS 2015 -> ICD-433
Z8521,Personal history of malignant neoplasm of larynx,cancer,Non CNS Cancer,CCS 2015 -> ICD-434
Z8522,"Personal history of malignant neoplasm of nasal cavities, middle ear, and accessory sinuses",cancer,Non CNS Cancer,CCS 2015 -> ICD-435
Z853,Personal history of malignant neoplasm of breast,cancer,Non CNS Cancer,CCS 2015 -> ICD-436
Z8542,Personal history of malignant neoplasm of other parts of uterus,cancer,Non CNS Cancer,CCS 2015 -> ICD-437
Z85810,Personal history of malignant neoplasm of tongue,cancer,Non CNS Cancer,CCS 2015 -> ICD-438
Z85818,"Personal history of malignant neoplasm of other sites of lip, oral cavity, and pharynx",cancer,Non CNS Cancer,CCS 2015 -> ICD-439
Z85819,"Personal history of malignant neoplasm of unspecified site of lip, oral cavity, and pharynx",cancer,Non CNS Cancer,CCS 2015 -> ICD-440
Z85820,Personal history of malignant melanoma of skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-441
Z85828,Personal history of other malignant neoplasm of skin,cancer,Non CNS Cancer,CCS 2015 -> ICD-442
Z85841,Personal history of malignant neoplasm of brain,cancer,Non CNS Cancer,CCS 2015 -> ICD-443
Z85848,Personal history of malignant neoplasm of other parts of nervous tissue,cancer,Non CNS Cancer,CCS 2015 -> ICD-444
R87610,Atypical squamous cells of undetermined significance on cytologic smear of cervix (ASC-US),cancer,Non CNS Cancer,CCS 2015 -> ICD-445
R87611,Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of cervix (ASC-H),cancer,Non CNS Cancer,CCS 2015 -> ICD-446
R87612,Low grade squamous intraepithelial lesion on cytologic smear of cervix (LGSIL),cancer,Non CNS Cancer,CCS 2015 -> ICD-447
R87613,High grade squamous intraepithelial lesion on cytologic smear of cervix (HGSIL),cancer,Non CNS Cancer,CCS 2015 -> ICD-448
R87810,Cervical high risk human papillomavirus (HPV) DNA test positive,other,Non CNS Cancer,CCS 2015 -> ICD-449
R87614,Cytologic evidence of malignancy on smear of cervix,cancer,Non CNS Cancer,CCS 2015 -> ICD-450
Z8541,Personal history of malignant neoplasm of cervix uteri,cancer,Non CNS Cancer,CCS 2015 -> ICD-451
C569,Malignant neoplasm of unspecified ovary,cancer,Non CNS Cancer,CCS 2015 -> ICD-452
Z8543,Personal history of malignant neoplasm of ovary,cancer,Non CNS Cancer,CCS 2015 -> ICD-453
C5700,Malignant neoplasm of unspecified fallopian tube,cancer,Non CNS Cancer,CCS 2015 -> ICD-454
C5710,Malignant neoplasm of unspecified broad ligament,cancer,Non CNS Cancer,CCS 2015 -> ICD-455
C573,Malignant neoplasm of parametrium,cancer,Non CNS Cancer,CCS 2015 -> ICD-456
C5720,Malignant neoplasm of unspecified round ligament,cancer,Non CNS Cancer,CCS 2015 -> ICD-457
C574,"Malignant neoplasm of uterine adnexa, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-458
C574,"Malignant neoplasm of uterine adnexa, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-459
C52,Malignant neoplasm of vagina,cancer,Non CNS Cancer,CCS 2015 -> ICD-460
C510,Malignant neoplasm of labium majus,cancer,Non CNS Cancer,CCS 2015 -> ICD-461
C511,Malignant neoplasm of labium minus,cancer,Non CNS Cancer,CCS 2015 -> ICD-462
C512,Malignant neoplasm of clitoris,cancer,Non CNS Cancer,CCS 2015 -> ICD-463
C519,"Malignant neoplasm of vulva, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-464
C577,Malignant neoplasm of other specified female genital organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-465
C578,Malignant neoplasm of overlapping sites of female genital organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-466
C579,"Malignant neoplasm of female genital organ, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-467
D0730,Carcinoma in situ of unspecified female genital organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-468
D072,Carcinoma in situ of vagina,cancer,Non CNS Cancer,CCS 2015 -> ICD-469
D071,Carcinoma in situ of vulva,cancer,Non CNS Cancer,CCS 2015 -> ICD-470
D0739,Carcinoma in situ of other female genital organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-471
R87624,Cytologic evidence of malignancy on smear of vagina,cancer,Non CNS Cancer,CCS 2015 -> ICD-472
Z8540,Personal history of malignant neoplasm of unspecified female genital organ,cancer,Non CNS Cancer,CCS 2015 -> ICD-473
Z8544,Personal history of malignant neoplasm of other female genital organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-474
C61,Malignant neoplasm of prostate,cancer,Non CNS Cancer,CCS 2015 -> ICD-475
D075,Carcinoma in situ of prostate,cancer,Non CNS Cancer,CCS 2015 -> ICD-476
Z8546,Personal history of malignant neoplasm of prostate,cancer,Non CNS Cancer,CCS 2015 -> ICD-477
C6200,Malignant neoplasm of unspecified undescended testis,cancer,Non CNS Cancer,CCS 2015 -> ICD-478
C6210,Malignant neoplasm of unspecified descended testis,cancer,Non CNS Cancer,CCS 2015 -> ICD-479
C6290,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",cancer,Non CNS Cancer,CCS 2015 -> ICD-480
Z8547,Personal history of malignant neoplasm of testis,cancer,Non CNS Cancer,CCS 2015 -> ICD-481
C600,Malignant neoplasm of prepuce,cancer,Non CNS Cancer,CCS 2015 -> ICD-482
C601,Malignant neoplasm of glans penis,cancer,Non CNS Cancer,CCS 2015 -> ICD-483
C602,Malignant neoplasm of body of penis,cancer,Non CNS Cancer,CCS 2015 -> ICD-484
C609,"Malignant neoplasm of penis, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-485
C6300,Malignant neoplasm of unspecified epididymis,cancer,Non CNS Cancer,CCS 2015 -> ICD-486
C6310,Malignant neoplasm of unspecified spermatic cord,cancer,Non CNS Cancer,CCS 2015 -> ICD-487
C632,Malignant neoplasm of scrotum,cancer,Non CNS Cancer,CCS 2015 -> ICD-488
C608,Malignant neoplasm of overlapping sites of penis,cancer,Non CNS Cancer,CCS 2015 -> ICD-489
C637,Malignant neoplasm of other specified male genital organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-490
C638,Malignant neoplasm of overlapping sites of male genital organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-491
C639,"Malignant neoplasm of male genital organ, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-492
D074,Carcinoma in situ of penis,cancer,Non CNS Cancer,CCS 2015 -> ICD-493
D0760,Carcinoma in situ of unspecified male genital organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-494
D0769,Carcinoma in situ of other male genital organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-495
Z8545,Personal history of malignant neoplasm of unspecified male genital organ,cancer,Non CNS Cancer,CCS 2015 -> ICD-496
Z8548,Personal history of malignant neoplasm of epididymis,cancer,Non CNS Cancer,CCS 2015 -> ICD-497
Z8549,Personal history of malignant neoplasm of other male genital organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-498
C670,Malignant neoplasm of trigone of bladder,cancer,Non CNS Cancer,CCS 2015 -> ICD-499
C671,Malignant neoplasm of dome of bladder,cancer,Non CNS Cancer,CCS 2015 -> ICD-500
C672,Malignant neoplasm of lateral wall of bladder,cancer,Non CNS Cancer,CCS 2015 -> ICD-501
C673,Malignant neoplasm of anterior wall of bladder,cancer,Non CNS Cancer,CCS 2015 -> ICD-502
C674,Malignant neoplasm of posterior wall of bladder,cancer,Non CNS Cancer,CCS 2015 -> ICD-503
C675,Malignant neoplasm of bladder neck,cancer,Non CNS Cancer,CCS 2015 -> ICD-504
C676,Malignant neoplasm of ureteric orifice,cancer,Non CNS Cancer,CCS 2015 -> ICD-505
C677,Malignant neoplasm of urachus,cancer,Non CNS Cancer,CCS 2015 -> ICD-506
C678,Malignant neoplasm of overlapping sites of bladder,cancer,Non CNS Cancer,CCS 2015 -> ICD-507
C679,"Malignant neoplasm of bladder, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-508
D090,Carcinoma in situ of bladder,cancer,Non CNS Cancer,CCS 2015 -> ICD-509
Z8551,Personal history of malignant neoplasm of bladder,cancer,Non CNS Cancer,CCS 2015 -> ICD-510
C649,"Malignant neoplasm of unspecified kidney, except renal pelvis",cancer,Non CNS Cancer,CCS 2015 -> ICD-511
C659,Malignant neoplasm of unspecified renal pelvis,cancer,Non CNS Cancer,CCS 2015 -> ICD-512
C7A093,Malignant carcinoid tumor of the kidney,cancer,Non CNS Cancer,CCS 2015 -> ICD-513
Z85528,Personal history of other malignant neoplasm of kidney,cancer,Non CNS Cancer,CCS 2015 -> ICD-514
Z8553,Personal history of malignant neoplasm of renal pelvis,cancer,Non CNS Cancer,CCS 2015 -> ICD-515
C669,Malignant neoplasm of unspecified ureter,cancer,Non CNS Cancer,CCS 2015 -> ICD-516
C680,Malignant neoplasm of urethra,cancer,Non CNS Cancer,CCS 2015 -> ICD-517
C681,Malignant neoplasm of paraurethral glands,cancer,Non CNS Cancer,CCS 2015 -> ICD-518
C688,Malignant neoplasm of overlapping sites of urinary organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-519
C689,"Malignant neoplasm of urinary organ, unspecified",cancer,Non CNS Cancer,CCS 2015 -> ICD-520
D0910,Carcinoma in situ of unspecified urinary organ,cancer,Non CNS Cancer,CCS 2015 -> ICD-521
D0919,Carcinoma in situ of other urinary organs,cancer,Non CNS Cancer,CCS 2015 -> ICD-522
Z8550,Personal history of malignant neoplasm of unspecified urinary tract organ,cancer,Non CNS Cancer,CCS 2015 -> ICD-523
Z8554,Personal history of malignant neoplasm of ureter,cancer,Non CNS Cancer,CCS 2015 -> ICD-524
Z8559,Personal history of malignant neoplasm of other urinary tract organ,cancer,Non CNS Cancer,CCS 2015 -> ICD-525
C73,Malignant neoplasm of thyroid gland,cancer,Non CNS Cancer,CCS 2015 -> ICD-526
E3122,Multiple endocrine neoplasia [MEN] type IIA,cancer,Non CNS Cancer,CCS 2015 -> ICD-527
E3123,Multiple endocrine neoplasia [MEN] type IIB,cancer,Non CNS Cancer,CCS 2015 -> ICD-528
Z85850,Personal history of malignant neoplasm of thyroid,cancer,Non CNS Cancer,CCS 2015 -> ICD-529
C8170,"Other Hodgkin lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-530
C8179,"Other Hodgkin lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-531
C8171,"Other Hodgkin lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-532
C8172,"Other Hodgkin lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-533
C8173,"Other Hodgkin lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-534
C8174,"Other Hodgkin lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-535
C8175,"Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-536
C8176,"Other Hodgkin lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-537
C8177,"Other Hodgkin lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-538
